camdist,camang,pattdist,gap,pixrange
2500.0,90.0,2000.0,1.0,[100, 2500]
R,sx,sy
29853.8108282,0.322009277438,29852.7864717
ldx,ldy,slopeerror,vsm
-695.584410049,7.08798670458,-1.5696758819e-05,-1152.78357712
-694.915715767,7.07240539063,-1.56709512044e-05,-1151.68687631
-694.247008984,7.05683875864,-1.56451964824e-05,-1150.59012213
-693.57828971,7.04128680972,-1.56194946347e-05,-1149.49331463
-692.909557957,7.02574954499,-1.5593845644e-05,-1148.39645386
-692.240813737,7.01022696558,-1.55682494923e-05,-1147.29953987
-691.572057061,6.99471907259,-1.55427061616e-05,-1146.20257269
-690.903287941,6.97922586716,-1.55172156348e-05,-1145.10555239
-690.234506388,6.96374735039,-1.54917778934e-05,-1144.008479
-689.565712415,6.94828352341,-1.54663929191e-05,-1142.91135257
-688.896906032,6.93283438732,-1.54410606945e-05,-1141.81417315
-688.228087252,6.91739994324,-1.54157812012e-05,-1140.71694079
-687.559256085,6.90198019228,-1.53905544206e-05,-1139.61965553
-686.890412544,6.88657513556,-1.53653803346e-05,-1138.52231742
-686.22155664,6.87118477418,-1.53402589247e-05,-1137.42492651
-685.552688385,6.85580910925,-1.53151901728e-05,-1136.32748284
-684.88380779,6.84044814189,-1.52901740602e-05,-1135.22998647
-684.214914866,6.8251018732,-1.52652105687e-05,-1134.13243744
-683.546009627,6.80977030428,-1.52402996788e-05,-1133.03483579
-682.877092082,6.79445343625,-1.52154413724e-05,-1131.93718157
-682.208162244,6.77915127021,-1.51906356304e-05,-1130.83947484
-681.539220124,6.76386380725,-1.51658824344e-05,-1129.74171563
-680.870265734,6.74859104849,-1.51411817651e-05,-1128.643904
-680.201299085,6.73333299503,-1.51165336031e-05,-1127.54604
-679.53232019,6.71808964797,-1.50919379302e-05,-1126.44812366
-678.863329059,6.7028610084,-1.50673947266e-05,-1125.35015504
-678.194325704,6.68764707742,-1.50429039733e-05,-1124.25213418
-677.525310138,6.67244785614,-1.50184656512e-05,-1123.15406114
-676.856282371,6.65726334565,-1.49940797407e-05,-1122.05593595
-676.187242415,6.64209354705,-1.4969746222e-05,-1120.95775867
-675.518190282,6.62693846143,-1.49454650763e-05,-1119.85952935
-674.849125983,6.61179808988,-1.49212362838e-05,-1118.76124802
-674.180049531,6.5966724335,-1.48970598247e-05,-1117.66291475
-673.510960936,6.58156149338,-1.48729356798e-05,-1116.56452957
-672.84186021,6.56646527062,-1.48488638282e-05,-1115.46609253
-672.172747365,6.55138376629,-1.48248442515e-05,-1114.36760368
-671.503622413,6.53631698149,-1.48008769286e-05,-1113.26906307
-670.834485365,6.52126491731,-1.47769618399e-05,-1112.17047075
-670.165336232,6.50622757484,-1.47530989657e-05,-1111.07182676
-669.496175027,6.49120495515,-1.4729288285e-05,-1109.97313115
-668.827001762,6.47619705935,-1.47055297789e-05,-1108.87438397
-668.157816446,6.4612038885,-1.46818234258e-05,-1107.77558526
-667.488619093,6.4462254437,-1.4658169206e-05,-1106.67673507
-666.819409715,6.43126172602,-1.4634567099e-05,-1105.57783346
-666.150188321,6.41631273655,-1.46110170842e-05,-1104.47888046
-665.480954925,6.40137847636,-1.45875191411e-05,-1103.37987613
-664.811709538,6.38645894654,-1.45640732496e-05,-1102.28082051
-664.142452171,6.37155414817,-1.45406793883e-05,-1101.18171365
-663.473182837,6.35666408231,-1.45173375369e-05,-1100.0825556
-662.803901546,6.34178875006,-1.44940476738e-05,-1098.98334641
-662.134608311,6.32692815247,-1.44708097787e-05,-1097.88408612
-661.465303143,6.31208229063,-1.44476238305e-05,-1096.78477477
-660.795986053,6.29725116561,-1.44244898084e-05,-1095.68541243
-660.126657054,6.28243477849,-1.44014076909e-05,-1094.58599913
-659.457316158,6.26763313032,-1.43783774573e-05,-1093.48653493
-658.787963374,6.25284622219,-1.43553990855e-05,-1092.38701987
-658.118598717,6.23807405516,-1.43324725549e-05,-1091.28745399
-657.449222196,6.22331663031,-1.43095978436e-05,-1090.18783736
-656.779833824,6.20857394869,-1.42867749305e-05,-1089.08817
-656.110433612,6.19384601137,-1.42640037938e-05,-1087.98845198
-655.441021573,6.17913281943,-1.42412844119e-05,-1086.88868334
-654.771597717,6.16443437391,-1.42186167635e-05,-1085.78886413
-654.102162056,6.1497506759,-1.4196000826e-05,-1084.68899439
-653.432714602,6.13508172644,-1.41734365785e-05,-1083.58907417
-652.763255368,6.12042752661,-1.4150923999e-05,-1082.48910353
-652.093784363,6.10578807745,-1.41284630647e-05,-1081.3890825
-651.4243016,6.09116338004,-1.41060537544e-05,-1080.28901114
-650.754807092,6.07655343543,-1.40836960456e-05,-1079.1888895
-650.085300848,6.06195824467,-1.4061389916e-05,-1078.08871761
-649.415782882,6.04737780882,-1.40391353433e-05,-1076.98849554
-648.746253204,6.03281212894,-1.40169323056e-05,-1075.88822332
-648.076711827,6.01826120608,-1.39947807801e-05,-1074.78790101
-647.407158761,6.00372504129,-1.39726807447e-05,-1073.68752865
-646.73759402,5.98920363564,-1.39506321768e-05,-1072.58710629
-646.068017614,5.97469699016,-1.39286350537e-05,-1071.48663398
-645.398429555,5.96020510591,-1.39066893521e-05,-1070.38611177
-644.728829855,5.94572798394,-1.38847950501e-05,-1069.28553971
-644.059218525,5.93126562529,-1.38629521247e-05,-1068.18491783
-643.389595578,5.91681803102,-1.38411605528e-05,-1067.0842462
-642.719961024,5.90238520217,-1.38194203115e-05,-1065.98352486
-642.050314876,5.88796713979,-1.37977313776e-05,-1064.88275385
-641.380657145,5.87356384491,-1.37760937281e-05,-1063.78193322
-640.710987844,5.85917531859,-1.37545073403e-05,-1062.68106303
-640.041306982,5.84480156186,-1.37329721897e-05,-1061.58014332
-639.371614574,5.83044257577,-1.37114882544e-05,-1060.47917414
-638.701910629,5.81609836136,-1.36900555105e-05,-1059.37815554
-638.03219516,5.80176891966,-1.3668673934e-05,-1058.27708756
-637.362468178,5.78745425172,-1.36473435022e-05,-1057.17597025
-636.692729695,5.77315435857,-1.36260641907e-05,-1056.07480367
-636.022979724,5.75886924125,-1.36048359761e-05,-1054.97358785
-635.353218274,5.7445989008,-1.3583658835e-05,-1053.87232285
-634.683445359,5.73034333824,-1.35625327432e-05,-1052.77100871
-634.01366099,5.71610255461,-1.3541457677e-05,-1051.66964549
-633.343865179,5.70187655095,-1.35204336122e-05,-1050.56823323
-632.674057937,5.68766532828,-1.34994605247e-05,-1049.46677198
-632.004239276,5.67346888764,-1.34785383908e-05,-1048.36526178
-631.334409208,5.65928723005,-1.34576671863e-05,-1047.2637027
-630.664567744,5.64512035654,-1.34368468866e-05,-1046.16209476
-629.994714897,5.63096826815,-1.34160774675e-05,-1045.06043803
-629.324850677,5.61683096589,-1.33953589047e-05,-1043.95873255
-628.654975098,5.6027084508,-1.33746911736e-05,-1042.85697836
-627.985088169,5.58860072389,-1.33540742497e-05,-1041.75517553
-627.315189904,5.57450778619,-1.33335081087e-05,-1040.65332409
-626.645280313,5.56042963872,-1.33129927251e-05,-1039.55142409
-625.975359409,5.54636628251,-1.32925280754e-05,-1038.44947558
-625.305427203,5.53231771857,-1.32721141334e-05,-1037.34747861
-624.635483707,5.51828394792,-1.32517508751e-05,-1036.24543323
-623.965528933,5.50426497158,-1.32314382755e-05,-1035.14333949
-623.295562893,5.49026079057,-1.3211176309e-05,-1034.04119743
-622.625585597,5.47627140591,-1.31909649512e-05,-1032.93900711
-621.955597058,5.4622968186,-1.31708041767e-05,-1031.83676856
-621.285597288,5.44833702967,-1.31506939597e-05,-1030.73448185
-620.615586299,5.43439204013,-1.31306342757e-05,-1029.63214701
-619.945564101,5.42046185098,-1.31106250986e-05,-1028.5297641
-619.275530708,5.40654646325,-1.30906664031e-05,-1027.42733317
-618.605486129,5.39264587794,-1.30707581641e-05,-1026.32485425
-617.935430379,5.37876009606,-1.30509003557e-05,-1025.22232741
-617.265363467,5.36488911861,-1.30310929523e-05,-1024.11975269
-616.595285406,5.35103294662,-1.30113359279e-05,-1023.01713014
-615.925196207,5.33719158107,-1.29916292571e-05,-1021.91445981
